--Move Updates--
Made Swords Dance have 20 PP
Made Vine Whip have 45 power and 25 PP
Made Pin Missile have 25 power and 95% accuracy
Made Flamethrower have 90 power
Made Hydro Pump have 110 power
Made Surf have 90 power
Made Ice Beam have 90 power
Made Blizzard have 110 power
Made Growth have 20 PP
Made Thunderbolt have 90 power
Made Thunder have 110 power
Made Minimize have 10 PP
Made Barrier have 20 PP
Made Lick have 30 power
Made Smog have 30 power
Made Fire Blast have 110 power
Made Skull Bash have 130 power and 10 PP
Made Glare have 100% accuracy
Made Poison Gas have 90% accuracy
Made Bubble have 40 power
Made Psywave have 100% accuracy
Made Acid Armor have 20 PP
Made Crabhammer have 100 power
Made Thief have 60 power and 25 PP
Made Snore have 50 power
Made Fury Cutter have 40 power
Made Future Sight have 120 power
Made Heat Wave have 95 power
Made Will-O-Wisp have 85% accuracy
Made SmellingSalt have 70 power
Made Knock Off have 65 power
Made Meteor Mash have 90 power and 90% accuracy
Made Air Cutter have 60 power
Made Overheat have 130 power
Made Rock Tomb have 60 power, 15 PP and 95% accuracy
Made Extrasensory have 20 PP
Made Muddy Water have 90 power
Made Covet have 25 PP
Made Wake-Up Slap have 70 power
Made Tailwind have 15 PP
Made Assurance have 60 power
Made Psycho Shift have 100% accuracy
Made Aura Sphere have 80 power
Made Air Slash have 15 PP
Made Dragon Pulse have 85 power
Made Power Gem have 80 power
Made Energy Ball have 90 power
Made Draco Meteor have 130 power
Made Leaf Storm have 130 power
Made Gunk Shot have 80% accuracy
Made Chatter have 65 power
Made Magma Storm have 100 power
Made Storm Throw have 60 power
Made Synchronoise have 120 power
Made Low Sweep have 65 power
Made Hex have 65 power
Made Incinerate have 60 power
Made Water Pledge have 80 power
Made Fire Pledge have 80 power
Made Grass Pledge have 80 power
Made Struggle Bug have 50 power
Made Frost Breath have 45 power
Made Sacred Sword have 15 PP
Made Hurricane have 110 power
Made Techno Blast have 120 power

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ABILITY3    |ITEM
  1|Bulbasaur |GRASS/POISON     |  45|  49|  49|  45|  65|  65|Gluttony    |--          |Effect Spore|Dread Plate (100%)
  2|Ivysaur   |GRASS/POISON     |  60|  62|  63|  60|  80|  80|Gluttony    |--          |Effect Spore|Plume Fossil (rare), Iron Plate (dark grass only)
  3|Venusaur  |GRASS/POISON     |  80|  82|  83|  80| 100| 100|Gluttony    |--          |Effect Spore|Genius Wing (dark grass only)
  4|Charmander|FIRE             |  39|  52|  43|  65|  60|  50|White Smoke |Snow Cloak  |Drought     |Rock Incense (rare)
  5|Charmeleon|FIRE             |  58|  64|  58|  80|  80|  65|White Smoke |Snow Cloak  |Drought     |X Speed (rare)
  6|Charizard |FIRE/FLYING      |  78|  84|  78| 100| 109|  85|White Smoke |Snow Cloak  |Drought     |Protein (dark grass only)
  7|Squirtle  |WATER            |  44|  48|  65|  43|  50|  64|Motor Drive |Rivalry     |Water Absorb|Sea Incense (dark grass only)
  8|Wartortle |WATER            |  59|  63|  80|  58|  65|  80|Motor Drive |Rivalry     |Water Absorb|TinyMushroom (common)
  9|Blastoise |WATER            |  79|  83| 100|  78|  85| 105|Motor Drive |Rivalry     |Water Absorb|Cleanse Tag (common), Up-Grade (dark grass only)
 10|Caterpie  |BUG              |  45|  30|  35|  45|  20|  20|Intimidate  |--          |Technician  |Splash Plate (common), Safari Ball (dark grass only)
 11|Metapod   |BUG              |  50|  20|  55|  30|  25|  25|Intimidate  |--          |Technician  |
 12|Butterfree|BUG/FLYING       |  60|  45|  50|  70|  90|  80|Intimidate  |--          |Technician  |
 13|Weedle    |BUG/POISON       |  40|  35|  30|  50|  20|  20|Clear Body  |Sand Veil   |Sand Stream |Air Balloon (common), Antidote (rare)
 14|Kakuna    |BUG/POISON       |  45|  25|  50|  35|  25|  25|Clear Body  |Sand Veil   |Sand Stream |Cover Fossil (common), NeverMeltIce (rare)
 15|Beedrill  |BUG/POISON       |  65|  90|  40|  75|  45|  80|Clear Body  |Sand Veil   |Sand Stream |Pearl (dark grass only)
 16|Pidgey    |NORMAL/FLYING    |  40|  45|  40|  56|  35|  35|Soundproof  |--          |Snow Cloak  |Power Herb (dark grass only)
 17|Pidgeotto |NORMAL/FLYING    |  63|  60|  55|  71|  50|  50|Soundproof  |--          |Snow Cloak  |Armor Fossil (common), Net Ball (rare), Soft Sand (dark grass only)
 18|Pidgeot   |NORMAL/FLYING    |  83|  80|  75| 101|  70|  70|Soundproof  |--          |Snow Cloak  |Dragon Fang (common), DeepSeaTooth (rare)
 19|Rattata   |NORMAL           |  30|  56|  35|  72|  25|  35|Filter      |Huge Power  |Shadow Tag  |Heal Powder (common)
 20|Raticate  |NORMAL           |  55|  81|  60|  97|  50|  70|Filter      |Huge Power  |Shadow Tag  |Old Gateau (rare)
 21|Spearow   |NORMAL/FLYING    |  40|  60|  30|  70|  31|  31|Soundproof  |--          |No Guard    |
 22|Fearow    |NORMAL/FLYING    |  65|  90|  65| 100|  61|  61|Soundproof  |--          |No Guard    |Max Repel (common)
 23|Ekans     |POISON           |  35|  60|  44|  55|  40|  54|Cloud Nine  |White Smoke |Thick Fat   |
 24|Arbok     |POISON           |  60|  85|  69|  80|  65|  79|Cloud Nine  |White Smoke |Thick Fat   |Bug Gem (common), Smoke Ball (rare), Big Pearl (dark grass only)
